run_name,n_episodes,success_rate,success_rate_se,avg_steps,avg_steps_se,shortcut_frac,shortcut_frac_se,distance_mae_vs_true,distance_corr_vs_true,distance_mae_vs_graph,distance_corr_vs_graph,shortcut_success_rate,shortcut_success_rate_se,shortcut_avg_length,shortcut_avg_length_se,n_shortcuts_evaluated,t_collection,t_heuristic_training,t_heuristic_pruning,t_policy_training,t_add_shortcuts,t_evaluation
sweep_o2_cmd_ch5_s42,10,1.0,0.0,21.9,0.348010216963685,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.01172184944152832,3849.589295864105,1.4218385219573975,426.6320300102234,0.004786491394042969,83.74940276145935
sweep_o2_cmd_nograd_ch7_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.025188446044921875,15144.864303350449,0.9312803745269775,92.50233507156372,0.005295276641845703,98.67215609550476
sweep_o2_cmd_nores_ch7_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.014132499694824219,10736.368799686432,0.8527095317840576,135.48927545547485,0.004945278167724609,47.13828897476196
sweep_o2_cmd_ucb100_ch6_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.011423587799072266,5341.938802957535,0.8317456245422363,7.749941349029541,0.004892587661743164,43.809199810028076
sweep_o2_cmd_ucb1_ch6_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.02617025375366211,10752.644568443298,0.8527719974517822,125.37662649154663,0.005028724670410156,47.064231157302856
sweep_o2_cmd_ucb_ch7_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.02628493309020996,20168.71073102951,0.954700231552124,130.4756920337677,0.004951000213623047,76.87700176239014
sweep_o2_cmd_ucb_lam0_ch7_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.025461912155151367,17417.42822241783,0.9531362056732178,105.15058970451355,0.005156278610229492,102.13499999046326
sweep_o2_cmd_unif_ch6_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.026199817657470703,10736.90028834343,0.8407247066497803,102.97081923484802,0.00518488883972168,72.19449973106384
sweep_o2_cmd_unif_ch7_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.026591777801513672,18914.014819145203,0.9291036128997803,104.01675057411194,0.004637479782104492,114.3078100681305
sweep_o2_crl_ch5_s42,10,1.0,0.0,22.4,1.8808981306221177,0.5,0.15811388300841897,nan,nan,nan,nan,nan,nan,nan,nan,0,0.010684490203857422,3049.0548071861267,1.9414947032928467,433.40637397766113,0.0046613216400146484,84.93236017227173
sweep_o2_crl_nograd_ch7_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.014235734939575195,10874.013579845428,1.3224403858184814,87.18612623214722,0.005349397659301758,139.4579677581787
sweep_o2_crl_nores_ch7_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.016654253005981445,3086.652561903,1.1561617851257324,51.86236500740051,0.004911661148071289,75.29679250717163
sweep_o2_crl_ucb100_ch6_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.011400938034057617,5253.363780498505,1.1418979167938232,84.10733556747437,0.00516963005065918,68.85222101211548
sweep_o2_crl_ucb1_ch6_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.016278982162475586,3118.2316987514496,1.161602258682251,51.18758201599121,0.004836320877075195,75.5614755153656
sweep_o2_crl_ucb_ch7_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.02657771110534668,15036.623300075531,1.2634673118591309,130.99099683761597,0.0048274993896484375,69.0473039150238
sweep_o2_crl_ucb_lam0_ch7_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.02547454833984375,8909.054616451263,1.3581182956695557,72.81913924217224,0.0048902034759521484,109.28619503974915
sweep_o2_crl_unif_ch6_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.01610279083251953,5987.757857561111,1.1636154651641846,103.31430172920227,0.0047283172607421875,68.71959185600281
sweep_o2_crl_unif_ch7_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.024738311767578125,16224.623506784439,1.3026506900787354,115.26072835922241,0.004777669906616211,111.97694063186646
sweep_o2_dsac_ch5_s42,10,1.0,0.0,25.5,1.0137937550497031,0.5,0.15811388300841897,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0117034912109375,4689.941922187805,0.36423611640930176,280.8122935295105,0.004558563232421875,78.25357699394226
sweep_o2_dsac_nograd_ch7_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.016257286071777344,3681.8605008125305,0.12208080291748047,1.4013426303863525,0.0055353641510009766,99.29246115684509
sweep_o2_dsac_nores_ch7_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.016676902770996094,2200.99515914917,0.0921180248260498,1.078763484954834,0.004914045333862305,36.873939990997314
sweep_o2_dsac_ucb100_ch6_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.011367321014404297,3151.874955892563,0.09302377700805664,0.6595191955566406,0.004845380783081055,31.699705362319946
sweep_o2_dsac_ucb1_ch6_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.016246318817138672,2634.9775919914246,0.09702062606811523,1.252565622329712,0.00516819953918457,37.97814464569092
sweep_o2_dsac_ucb_ch7_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.026549100875854492,15783.019181728363,0.1005856990814209,0.8158395290374756,0.004631757736206055,91.43368577957153
sweep_o2_dsac_ucb_lam0_ch7_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00896143913269043,2814.1192893981934,0.10392332077026367,1.165710687637329,0.0048236846923828125,99.98068833351135
sweep_o2_dsac_unif_ch6_s42,10,1.0,0.0,27.0,1.2018504251546631,0.2,0.1264911064067352,nan,nan,nan,nan,nan,nan,nan,nan,0,0.02524733543395996,9205.32401061058,0.09868574142456055,0.7884910106658936,0.004774570465087891,68.50301265716553
sweep_o2_dsac_unif_ch7_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.008472919464111328,12691.263957500458,0.10996198654174805,1.024240493774414,0.004662513732910156,102.54828095436096
sweep_o2_none_ch5_s42,10,1.0,0.0,25.0,0.3333333333333333,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.01697087287902832,0.04908895492553711,0.07367730140686035,405.7745900154114,0.005131959915161133,104.94137597084045
sweep_o2_pure_plan_ch5_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.016964435577392578,0.04935598373413086,0.00016689300537109375,0.005877494812011719,2.0503997802734375e-05,0.5435853004455566
sweep_o2_routs_ch5_s42,10,1.0,0.0,21.9,0.348010216963685,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.01703047752380371,378.8397545814514,0.0006520748138427734,360.7000901699066,0.0050506591796875,67.53458595275879
sweep_o2_sac_ch5_s42,10,1.0,0.0,22.4,1.8808981306221177,0.5,0.15811388300841897,nan,nan,nan,nan,nan,nan,nan,nan,0,0.02519512176513672,4383.691572666168,0.42027878761291504,294.07707238197327,0.0046100616455078125,54.371628522872925
sweep_o2_sac_nograd_ch7_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.01411890983581543,2454.9530403614044,0.18666481971740723,1.1525707244873047,0.004816293716430664,152.26949739456177
sweep_o2_sac_nores_ch7_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.014199495315551758,1971.8402342796326,0.1775963306427002,1.174790859222412,0.0050258636474609375,52.26050591468811
sweep_o2_sac_ucb100_ch6_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.026143312454223633,1872.875720024109,0.18379902839660645,1.1113812923431396,0.004723548889160156,34.84318256378174
sweep_o2_sac_ucb1_ch6_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.026212692260742188,2024.196106672287,0.17467164993286133,1.1113052368164062,0.004926204681396484,52.94865298271179
sweep_o2_sac_ucb_ch7_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.026621341705322266,2436.7691395282745,0.18021702766418457,1.0567822456359863,0.0047533512115478516,153.8608045578003
sweep_o2_sac_ucb_lam0_ch7_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.02545619010925293,2408.7627186775208,0.2070319652557373,1.194232702255249,0.004661083221435547,54.38259148597717
sweep_o2_sac_unif_ch6_s42,10,1.0,0.0,28.6,0.30550504633038933,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.025222063064575195,8730.8964676857,0.18298673629760742,0.8246021270751953,0.004766702651977539,73.47157692909241
sweep_o2_sac_unif_ch7_s42,10,1.0,0.0,24.0,0.6666666666666666,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.026322126388549805,18351.519012451172,0.2016749382019043,1.0972743034362793,0.004700183868408203,101.25784230232239
sweep_o2_srouts_ch5_s42,10,1.0,0.0,22.4,0.9333333333333332,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0.01698756217956543,372.5853431224823,0.01993417739868164,317.6238486766815,0.0051004886627197266,33.82791352272034
